time,centroid,bandwidth,chroma_hue
1.033531395504920880e+01,2.957921986808441095e-01,5.523178032778579549e-01,3.333333333333333148e-01
1.037698860809376278e+01,3.000610766487791792e-01,5.548477786735033224e-01,5.141758566780667561e-01
1.041866326113831498e+01,3.044504804979434875e-01,5.574398302545016115e-01,7.776122871508822643e-01
1.046033791418286896e+01,3.089584390360694544e-01,5.600959678397922081e-01,7.761651244348701795e-01
1.050201256722742293e+01,3.135801442456206400e-01,5.628168455623496769e-01,5.728334812185739144e-01
1.054368722027197514e+01,3.183086181032826478e-01,5.656012769542282381e-01,5.000000000000000000e-01
1.058536187331652911e+01,3.231430262304984535e-01,5.684522959337784398e-01,5.000000000000000000e-01
1.062703652636108131e+01,3.280604555191465321e-01,5.713589754860030068e-01,4.318354671061000460e-01
1.066871117940563529e+01,3.330436796198104066e-01,5.743149244367190542e-01,4.166666666666666852e-01
1.071038583245018927e+01,3.380779279234452095e-01,5.773121475553775195e-01,3.656145688088890955e-01
1.075206048549474147e+01,3.431384908414646939e-01,5.803389303758869078e-01,3.333333333333333148e-01
1.079373513853929545e+01,3.481999055228588436e-01,5.833822776156915024e-01,3.333333333333333148e-01
1.083540979158384765e+01,3.532365287205105897e-01,5.864280523815624813e-01,3.333333333333333148e-01
1.087708444462840163e+01,3.582196591073310565e-01,5.894601628495342860e-01,3.333333333333333148e-01
1.091875909767295560e+01,3.631192919892042292e-01,5.924609011396514413e-01,3.333333333333333148e-01
1.096043375071750781e+01,3.679022052436722867e-01,5.954112833223624834e-01,3.333333333333333148e-01
1.100210840376206178e+01,3.725121562096210259e-01,5.982804950677795830e-01,2.588414247686668945e-01
1.104378305680661398e+01,3.769285749059611557e-01,6.010533656819758708e-01,7.115498373262144627e-01
1.108545770985116796e+01,3.811166387099323427e-01,6.037075572926747791e-01,4.890564921620882410e-01
1.112713236289572194e+01,3.850427777246485661e-01,6.062211967926803835e-01,3.333333333333333148e-01
1.116880701594027414e+01,3.886746304255747630e-01,6.085730445649365494e-01,3.333333333333333148e-01
1.121048166898482812e+01,3.919813350120623374e-01,6.107425370187876679e-01,2.064900494359299399e-01
1.125215632202938032e+01,3.949343633220410155e-01,6.127102927096463869e-01,1.157730172814322306e-01
1.129383097507393430e+01,3.975080524939059168e-01,6.144584426767211172e-01,4.166666666666666852e-01
1.133550562811848827e+01,3.996791593561355160e-01,6.159700330867816653e-01,4.468775087674856095e-01
1.137718028116304048e+01,4.014105226417961636e-01,6.172183715318795283e-01,8.207630878438160194e-01
1.141885493420759445e+01,4.026632846822917888e-01,6.181773276062932920e-01,8.333333333333333703e-01
1.146052958725214665e+01,4.034662715231152053e-01,6.188601366770188905e-01,8.333333333333333703e-01
1.150220424029670063e+01,4.038146536930581898e-01,6.192596452704416388e-01,8.333333333333333703e-01
1.154387889334125461e+01,4.037093022794584485e-01,6.193741823474646635e-01,6.469556766806063841e-01
1.158555354638580681e+01,4.031566901529918256e-01,6.192052353615752347e-01,6.521527865804634949e-01
1.162722819943036079e+01,4.021672752058477185e-01,6.187562205669420168e-01,7.743693750792275399e-01
1.166890285247491299e+01,4.007553066843096423e-01,6.180324861939842096e-01,6.457409050576781162e-01
1.171057750551946697e+01,3.989395455920098366e-01,6.170417772121746802e-01,5.709637892424060945e-01
1.175225215856402095e+01,3.967422438888842384e-01,6.157945476850004152e-01,5.000000000000000000e-01
1.179392681160857315e+01,3.941701371999186687e-01,6.142924058496463946e-01,5.000000000000000000e-01
1.183560146465312712e+01,3.912671826212222315e-01,6.125592990443075037e-01,6.400684497401412099e-01
1.187727611769767933e+01,3.880923235843831698e-01,6.106301789610805164e-01,7.281446740186728883e-01
1.191895077074223330e+01,3.846839749592749769e-01,6.085271152929383476e-01,6.441564203321099580e-01
1.196062542378678728e+01,3.810834689658542107e-01,6.062751782971851355e-01,5.833333333333333703e-01
1.200230007683133948e+01,3.773334992334148041e-01,6.039001252039971623e-01,5.475239785355152655e-01
